,CustomerID,ProductName,PurchaseDate,Quantity,UnitPrice,City,Rating,IsMember
0,3491,Laptop,2023-02-19,5,1965.76,London,3,False
1,1747,Laptop,2022-12-27,3,1865.53,Toronto,3,False
2,1560,Charger,2022-03-04,4,592.03,New York,4,False
3,2352,Laptop,2020-07-22,6,1619.26,New York,4,False
4,1786,Laptop,2023-03-16,8,891.78,Berlin,5,False
5,3881,Laptop,2023-04-08,9,1834.99,Sydney,4,True
6,1877,Laptop,2023-11-03,1,1876.68,New York,5,False
7,2124,Headphones,2020-10-21,3,1173.61,Sydney,2,False
8,2627,Tablet,2023-02-12,2,1841.32,Paris,4,True
9,4508,Smartphone,2020-12-12,2,732.87,London,1,True
10,1514,Charger,2021-12-28,2,1116.22,Sydney,2,True
11,4501,Charger,2021-03-09,4,992.0,New York,4,False
12,3761,Headphones,2022-07-09,3,1823.24,Sydney,4,False
13,4279,Smartphone,2023-06-19,5,1971.23,Toronto,3,True
14,4167,Tablet,2021-02-21,8,1624.89,Sydney,5,True
15,2758,Charger,2021-02-24,7,1825.27,London,1,True
16,1600,Laptop,2022-05-04,3,466.96,Mumbai,3,True
17,2280,Charger,2022-01-18,7,1518.33,London,2,True
18,4400,Charger,2022-03-19,8,1091.28,Toronto,1,True
19,4488,Charger,2022-12-16,4,183.56,New York,3,True
20,3650,Laptop,2021-08-13,1,1953.47,New York,1,True
21,4651,Headphones,2020-11-22,4,1662.82,Toronto,1,True
22,4440,Laptop,2023-06-26,3,749.99,New York,2,False
23,3183,Smartphone,2022-03-08,4,545.37,London,2,True
24,1628,Tablet,2020-11-22,3,344.79,London,2,False
25,4603,Tablet,2023-06-17,8,146.89,Tokyo,5,False
26,4935,Laptop,2021-12-19,8,1763.14,London,3,False
27,3468,Charger,2020-04-08,5,1543.46,New York,3,False
28,3460,Tablet,2020-09-05,9,1159.45,Paris,4,False
29,4899,Tablet,2023-06-17,3,638.92,Mumbai,1,True
30,3538,Headphones,2022-10-21,1,303.68,Paris,5,True
31,1785,Laptop,2023-04-07,3,1457.22,Toronto,2,True
32,2979,Tablet,2022-02-06,4,1694.34,London,5,False
33,3621,Charger,2022-11-21,5,587.08,Sydney,5,True
34,3147,Headphones,2020-08-15,1,1734.79,Tokyo,5,True
35,2445,Headphones,2022-01-31,3,1281.29,London,2,True
36,4345,Laptop,2022-07-04,8,391.48,Sydney,4,True
37,1332,Smartphone,2021-08-16,8,775.54,Sydney,3,False
38,4166,Smartphone,2020-04-06,8,1632.88,Toronto,3,True
39,2507,Laptop,2022-11-09,8,855.69,Toronto,4,True
40,4194,Headphones,2023-10-21,2,1519.8,Berlin,3,True
41,1449,Charger,2020-10-08,5,193.13,Berlin,3,True
42,4544,Headphones,2020-03-19,6,576.68,Berlin,4,True
43,4372,Headphones,2021-06-04,1,1450.22,Paris,4,False
44,4928,Smartphone,2020-07-03,1,109.64,Mumbai,2,True
45,1143,Charger,2022-10-26,4,391.87,New York,1,False
46,4414,Laptop,2022-05-06,2,1849.2,Sydney,5,False
47,4449,Headphones,2022-03-22,3,1412.9,Paris,3,False
48,4159,Charger,2023-07-13,4,91.29,Paris,5,False
49,3476,Laptop,2020-04-25,8,296.22,Paris,3,True
50,3371,Smartphone,2020-05-04,4,1178.22,Tokyo,3,False
51,2910,Laptop,2020-11-06,2,565.73,Mumbai,3,False
52,1137,Smartphone,2020-08-26,8,1325.68,London,2,True
53,4334,Charger,2023-03-09,8,831.19,Sydney,3,False
54,2115,Smartphone,2022-09-20,3,1707.37,Paris,5,True
55,1339,Charger,2020-01-16,8,1822.14,New York,2,True
56,3536,Laptop,2021-11-23,6,1115.11,Sydney,1,True
57,4373,Charger,2022-12-16,1,1535.62,Tokyo,4,False
58,2858,Headphones,2020-07-20,7,1600.6,Tokyo,2,False
59,4990,Laptop,2021-04-27,1,514.93,Toronto,4,True
60,1471,Headphones,2020-12-28,8,849.03,Toronto,3,True
61,4445,Tablet,2021-02-03,3,1796.29,Tokyo,1,True
62,1645,Laptop,2023-01-08,4,1061.09,Tokyo,2,True
63,2645,Headphones,2023-10-01,2,1338.81,Toronto,5,True
64,4695,Tablet,2021-08-23,2,1199.39,Mumbai,3,True
65,4800,Smartphone,2023-01-08,5,1532.13,New York,5,True
